EquipmentType;EquipmentTypeID;EquipmentID;CMMSCode;EquipmentModelType;SerialNo;PlantID;Plant;ProductionLineID;ProductionLine;Position;CategoryCode;RoleCategory;Model;Manufacturer;Condition;Process;OperationalStatus;Comments;BusinessCentre;AcquisitionDate;AcquisitionCost;Concerned;Certificat;2006;2014;CECompliant;ComplyType:;FinancialStatusDesc;CapexNo;FinancialCTSOffice;FARCode;GBV;DepreciationStartDate;DepreciationRate;DepreciationYears;InventoryValue;LeasingLessorNameDesc;LeasingContractRefDesc;LeasingAnnualFee;LeasingSaleDate;LeasingContractNo;OriginalEqptCost;CustomerDetailedName;Groupe;SellingDate;SellingAmount;FinancialInfo;
Line Machines;1;48258;GAUGE _48258;;573LA01_Quality;5;Food France - Nantes;11398;573CL01;140,000;0144;Gauge - end control;Quality Line Control;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49269;CLASSI_49269;;86259-80;5;Food France - Nantes;11398;573CL01;90,000;0016;Classifier;Pile 2;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49270;CLASSI_49270;;86259-80;5;Food France - Nantes;11398;573CL01;100,000;0016;Classifier;Pile 3;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;21868;FEEDSH_21868;;***;5;Food France - Nantes;0;;0,000;0017;Feeder (sheet-);;Carnaud;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22016;PACKER_22016;;***;5;Food France - Nantes;0;;0,000;0007;Packer;1645;Carnaud;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22117;VISEND_22117;;***;5;Food France - Nantes;0;;0,000;0008;Vision Inspection unit (end-);;EMI;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49271;CLASSI_49271;;86259-80;5;Food France - Nantes;11398;573CL01;110,000;0016;Classifier;Pile 4;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22120;VISEND_22120;;***;5;Food France - Nantes;0;;0,000;0008;Vision Inspection unit (end-);;EMI;Fully Functional;N/A;Surplus;1st floor ex 3PC;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;50569;PINDET_50569;;00384;5;Food France - Nantes;11398;573CL01;60,000;0014;Pinhole detector;CSM-10;EDS;As New;Coil Shear;Operational;;False;06/11/2017;;True;;True;True;True;TTT;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22251;DWNEND_22251;;90 355-91;5;Food France - Nantes;11399;573CL02;10,000;0010;Downender;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;24761;PRESS_24761;;***;5;Food France - Nantes;0;;0,000;0036;Press;5P;Latour;Fully Functional;N/A;Surplus;1st floor ex 3PC;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22263;COILCAR_22263;;90 354-91;5;Food France - Nantes;11399;573CL02;20,000;0011;Coil car;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22276;COILUNW_22276;;90 353-91;5;Food France - Nantes;11399;573CL02;30,000;0012;Coil unwinder;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;25333;KEYPOS_25333;;***;5;Food France - Nantes;0;;0,000;0071;Key positionner;;IX Manu;As New;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22289;LEVELL_22289;;90 351-91;5;Food France - Nantes;11399;573CL02;50,000;0131;Leveller;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22319;SHEAR_22319;;90 350-91;5;Food France - Nantes;11399;573CL02;70,000;0015;Shear;BR4E;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22329;CLASSI_22329;;90 349-91;5;Food France - Nantes;11399;573CL02;80,000;0016;Classifier;Pile 1;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48092;CONVSH_48092;;573CL02_conveying;5;Food France - Nantes;11399;573CL02;130,000;0158;Conveyor (sheet-);Conveying;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48256;GAUGE _48256;;573CL02_ThicknessGau;5;Food France - Nantes;11399;573CL02;40,000;0199;Gauge (thickness-);Thickness gauge;Vollmer;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48259;GAUGE _48259;;573LA02_Quality;5;Food France - Nantes;11399;573CL02;140,000;0144;Gauge - end control;Quality Line Control;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49266;CLASSI_49266;;90 349-91;5;Food France - Nantes;11399;573CL02;90,000;0016;Classifier;Pile 2;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49267;CLASSI_49267;;90 349-91;5;Food France - Nantes;11399;573CL02;100,000;0016;Classifier;Pile 3;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49268;CLASSI_49268;;90 349-91;5;Food France - Nantes;11399;573CL02;110,000;0016;Classifier;Pile 4;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;50568;PINDET_50568;;00257;5;Food France - Nantes;11399;573CL02;60,000;0014;Pinhole detector;CSM-10;EDS;Fully Functional;Coil Shear;Operational;;False;01/02/2012;;True;;True;True;True;TTT;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22252;DWNEND_22252;;78 745-71;5;Food France - Nantes;11400;573CL03;10,000;0010;Downender;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22264;COILCAR_22264;;78 744-71;5;Food France - Nantes;11400;573CL03;20,000;0011;Coil car;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22277;COILUNW_22277;;78 743-71;5;Food France - Nantes;11400;573CL03;30,000;0012;Coil unwinder;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22290;LEVELL_22290;;78 741-71;5;Food France - Nantes;11400;573CL03;50,000;0131;Leveller;;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22302;PINDET_22302;;XXX;5;Food France - Nantes;11400;573CL03;60,000;0014;Pinhole detector;Sems;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22313;SHEAR_22313;;78 740-71;5;Food France - Nantes;11400;573CL03;70,000;0015;Shear;BR3;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22330;CLASSI_22330;;78 739-71;5;Food France - Nantes;11400;573CL03;80,000;0016;Classifier;Pile 1;Littell;Fully Functional;Coil Shear;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48093;CONVSH_48093;;573CL03_conveying;5;Food France - Nantes;11400;573CL03;130,000;0158;Conveyor (sheet-);Conveying;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48257;GAUGE _48257;;573CL03_ThicknessGau;5;Food France - Nantes;11400;573CL03;40,000;0199;Gauge (thickness-);Thickness Gauge;Vollmer;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48260;GAUGE _48260;;573LA03_Quality;5;Food France - Nantes;11400;573CL03;140,000;0144;Gauge - end control;Quality Line Control;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49272;CLASSI_49272;;78 739-71;5;Food France - Nantes;11400;573CL03;90,000;0016;Classifier;Pile 2;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49273;CLASSI_49273;;78 739-71;5;Food France - Nantes;11400;573CL03;100,000;0016;Classifier;Pile 3;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49274;CLASSI_49274;;78 739-71;5;Food France - Nantes;11400;573CL03;110,000;0016;Classifier;Pile 4;Littell;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;36386;STLTRA_36386;;;5;Food France - Nantes;278;573CLSL01&02;20,000;0055;Stillage Transfer;Shuttle;Unknown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;25999;CURLER_25999;;016/S;5;Food France - Nantes;0;;0,000;0108;Curler;6CA;Metalbox;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48002;BUNTUR_48002;;N/A;5;Food France - Nantes;278;573CLSL01&02;50,000;0138;Bundle turner;Retourneur;Jxxa;Fully Functional;Coil Shear;Operational;;False;01/03/2012;150000;True;;True;True;True;TTT;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48094;CONVSTIL_48094;;Convoyeur entrée nav;5;Food France - Nantes;278;573CLSL01&02;10,000;0204;Conveyor (stillage-);Convoyeur entrée;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48095;CONVSTIL_48095;;Centreur palettes;5;Food France - Nantes;278;573CLSL01&02;30,000;0204;Conveyor (stillage-);Centreur Plateaux;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48096;PALDIS_48096;;Préhenseur plateaux;5;Food France - Nantes;278;573CLSL01&02;40,000;0254;Pallet Dispenser;Préhenseur plateaux;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48097;CONVSTIL_48097;;convoyeur sortie ret;5;Food France - Nantes;278;573CLSL01&02;60,000;0204;Conveyor (stillage-);Convoyeur Sortie;Crown;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;26657;CURLER_26657;;0515;5;Food France - Nantes;0;;0,000;0108;Curler;5CA;Metalbox;Fully Functional;N/A;Surplus;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;25960;CURLER_25960;;0517;5;Food France - Nantes;0;;0,000;0108;Curler;5CA;Metalbox;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22074;WRAPEND_22074;;052/98;5;Food France - Nantes;0;;0,000;0034;Wrapper (end-);WR 2002;Tecnomachinery;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;49306;BUNTUR_49306;;N/A;5;Food France - Nantes;2151;573CLSL03;10,000;0138;Bundle turner;Retourneur Hors Ligne;LTG;Fully Functional;Coil Shear;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;21767;OVENSH_21767;;200.286;5;Food France - Nantes;11405;573LA01;40,000;0002;Oven (flat sheet-);"18m-1""";LTG;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22075;WRAPEND_22075;;054/98;5;Food France - Nantes;0;;0,000;0034;Wrapper (end-);WR 2002;Tecnomachinery;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;25963;CURLER_25963;;0555;5;Food France - Nantes;0;;0,000;0108;Curler;5CA;Metalbox;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22444;FEEDSH_22444;;10M426;5;Food France - Nantes;11405;573LA01;10,000;0017;Feeder (sheet-);1580A;Carnaud;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22637;PRNTDK_22637;;ST.183590;5;Food France - Nantes;11405;573LA01;20,000;0019;Print Deck;45x38;Crabtree;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22639;COATSH_22639;;E2891;5;Food France - Nantes;11405;573LA01;30,000;0018;Coater (sheet-);45x38;Ratcliff;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;27125;CURLER_27125;;0575-S;5;Food France - Nantes;0;;0,000;0108;Curler;5 CA;Metalbox;As New;N/A;Surplus;;False;01/01/1977;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22640;COATSH_22640;;E2890;5;Food France - Nantes;11405;573LA01;60,000;0018;Coater (sheet-);45x38;Ratcliff;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22020;PACKER_22020;;1;5;Food France - Nantes;0;;0,000;0007;Packer;1645;Carnaud;Fully Functional;N/A;Surplus;1st floor ex 3PC;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;25042;OVENSH_25042;;200.287;5;Food France - Nantes;11405;573LA01;70,000;0002;Oven (flat sheet-);"33m-1""";LTG;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;21899;PACKER_21899;;10;5;Food France - Nantes;0;;0,000;0007;Packer;1645;Carnaud;Scrap/Spares Only;N/A;Surplus;1st floor ex 3PC;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;26663;VISEND_26663;;10006929;5;Food France - Nantes;0;;0,000;0008;Vision Inspection unit (end-);CVS001C;Sacmi;Fully Functional;N/A;Surplus;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;25833;STACKSH_25833;;XXX;5;Food France - Nantes;11405;573LA01;80,000;0094;Stacker (sheet-);3004b;Carnaud;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48130;GAUGE _48130;;573LA01_quality;5;Food France - Nantes;11405;573LA01;100,000;0144;Gauge - end control;Quality Line Control;Crown;Fully Functional;Coating;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;25332;KEYPOS_25332;;102;5;Food France - Nantes;0;;0,000;0071;Key positionner;;ABC;As New;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;21768;OVENSH_21768;;200.527;5;Food France - Nantes;11406;573LA02;4,000;0002;Oven (flat sheet-);"18m-1""";LTG;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22434;FEEDSH_22434;;XXX;5;Food France - Nantes;11406;573LA02;2,000;0017;Feeder (sheet-);;Unknown;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22024;PACKER_22024;;11;5;Food France - Nantes;0;;0,000;0007;Packer;1645;Carnaud;Scrap/Spares Only;N/A;Surplus;2nd floor;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22445;FEEDSH_22445;;XXX;5;Food France - Nantes;11406;573LA02;1,000;0017;Feeder (sheet-);1580A;Carnaud;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22023;PACKER_22023;;14;5;Food France - Nantes;0;;0,000;0007;Packer;1645;Carnaud;Fully Functional;N/A;Surplus;2nd floor;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22647;COATSH_22647;;XXX;5;Food France - Nantes;11406;573LA02;3,000;0018;Coater (sheet-);464;Mailander;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22652;COATSH_22652;;XXX;5;Food France - Nantes;11406;573LA02;5,000;0018;Coater (sheet-);466;Mailander;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Quality equipment;4;48030;_48030;;14-0975-14112604;5;Food France - Nantes;0;;0,000;0471;Enamel rater;ENR-4-HOLD (EOLE) 035 340:00;Kuhnke;As New;N/A;Standalone;Enamel rater Holder (4 ends) for EOE99&83.7;False;17/02/2015;;False;;;;True;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Quality equipment;4;48029;_48029;;14-0975-14112605;5;Food France - Nantes;0;;0,000;0471;Enamel rater;ENR-8 (EOLE) 035 201:00;Kuhnke;As New;N/A;Standalone;Enamel rater Electronic device for EOE;False;17/02/2015;;False;;;;True;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Quality equipment;4;48031;_48031;;14-0975-14112605;5;Food France - Nantes;0;;0,000;0471;Enamel rater;ENR-8-HOLD (EOLE) 035 290:00;Kuhnke;As New;N/A;Standalone;Enamel rater Holder (8 ends) for EOE73;False;17/02/2015;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Quality equipment;4;48033;_48033;;14-0975-14112605;5;Food France - Nantes;0;;0,000;0471;Enamel rater;ENR-4-HOLD (NEO) 035 340:00;Kuhnke;As New;N/A;Standalone;Enamel rater Holder (4 ends) for NEO80&83;False;17/02/2015;;False;;;;True;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Quality equipment;4;48032;_48032;;14-0975-14112606;5;Food France - Nantes;0;;0,000;0471;Enamel rater;ENR-8 (NEO) - 035 201:00;Kuhnke;As New;N/A;Standalone;Enamel rater Electronic device for NEO80-83;False;17/02/2015;;False;;;;True;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Quality equipment;4;48035;_48035;;14-0975-14112606;5;Food France - Nantes;0;;0,000;0471;Enamel rater;ENR-8-HOLD (NEO) 035 290:00;Kuhnke;As New;N/A;Standalone;Enamel rater Holder (8 ends) for NEO70-73;False;17/02/2015;;False;;;;True;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Quality equipment;4;48034;_48034;;14-0975-14112607;5;Food France - Nantes;0;;0,000;0471;Enamel rater;ENR-8 (NEO) - 035 201:00;Kuhnke;As New;N/A;Standalone;Enamel rater Electronic device for NEO62-65-70-73;False;17/02/2015;;False;;;;True;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Quality equipment;4;48036;_48036;;14-0975-14112607;5;Food France - Nantes;0;;0,000;0471;Enamel rater;ENR-8-HOLD (NEO) 035 290:00;Kuhnke;As New;N/A;Standalone;Enamel rater Holder (8 ends) for NEO62-65;False;17/02/2015;;False;;;;True;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;24713;PRESS_24713;;1412;5;Food France - Nantes;0;;0,000;0036;Press;314;Metalbox;Fully Functional;N/A;Surplus;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;25043;OVENSH_25043;;200.528;5;Food France - Nantes;11406;573LA02;6,000;0002;Oven (flat sheet-);"33m-1""";LTG;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;25834;STACKSH_25834;;XXX;5;Food France - Nantes;11406;573LA02;7,000;0094;Stacker (sheet-);3004b;Carnaud;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;48131;GAUGE _48131;;573LA02_Quality;5;Food France - Nantes;11406;573LA02;27,000;0144;Gauge - end control;Quality Line Control;Crown;Fully Functional;Coating;Operational;;False;Unknown;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
Line Machines;1;22435;FEEDSH_22435;;XXX;5;Food France - Nantes;11407;573LA03;20,000;0017;Feeder (sheet-);;Unknown;Fully Functional;Coating;Operational;;False;05/08/2004;;False;;;;False;FXX;;;;;;Unknown;;;;;;;Unknown;;;;-;Unknown;;;
